sample_id,row,words,baseline_accepted,language,language_probability,vad_seconds,subsequence_word_error_proxy,status,baseline_words,enhanced_words,recovered_words,withheld_words,wide_words,original_text,asr_text,translation
-3g5yACwYnA$_$13,0,15,True,en,0.99951171875,5.399125,0.0,english_sentence_supported,14,14,0,0,0,They've been able to find solutions or at least bring some answers to the table.,that we do. They've been able to find solutions or at least bring some answers to the table.,
-3g5yACwYnA$_$3,1,29,True,en,0.99658203125,14.151875,0.10344827586206896,english_sentence_supported,29,28,0,1,0,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.","We're a huge user of adhesives for our operation called flocking, and we don't have the technical insight in from compounding or the technical expertise to do these types of things. So key brings.",
-3g5yACwYnA$_$2,2,14,True,en,0.9931640625,8.9593125,0.07142857142857142,english_sentence_supported,14,11,0,3,1,Key Polymer brings a technical aspect to our operation that we don't have internally.,operations. Key follower brings a technical aspect to our operation that we don't have internally.,
-3g5yACwYnA$_$9,3,23,True,en,0.998046875,8.456125,0.043478260869565216,english_sentence_supported,22,22,0,0,0,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.","Like, we have many new opportunities through the way things have changed through the years. I'm looking for new niche high-end value-added products.",
-3nNcZdcdvU$_$5,4,18,True,en,0.998046875,7.4765625,0.05555555555555555,english_sentence_supported,18,16,0,2,0,Noncompliance can result in legal liability to you and to the school district in which you are employed.,Noncompliance can resolve in legal liability to you and to the school district in which you are employed.,
-HwX2H8Z4hY$_$2,5,4,True,en,0.99951171875,2.5878125,0.0,english_sentence_supported,4,3,0,1,0,"” [President Ronald Reagan:] ""Look at the record",Look at the record.,
-HwX2H8Z4hY$_$5,6,9,True,en,0.998046875,4.9120625,0.0,english_sentence_supported,9,9,0,0,0,""" President Ronald Reagan blamed the professional bureaucracy of education",President Ronald Reagan blamed the professional bureaucracy of education.,
-HwX2H8Z4hY$_$6,7,7,True,en,0.99755859375,2.912,0.14285714285714285,english_sentence_supported,7,6,0,1,0,"And in part, Al Shanker did too","And in part, Al Schenker did too.",
-HwX2H8Z4hY$_$9,8,22,True,en,0.9716796875,7.2923125,0.09090909090909091,english_sentence_supported,21,17,0,4,0,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,"It is a word with which the administrator uses when he turns around, anything which he doesn't like the teacher is doing, he says, you...",
-NFrJFQijFE$_$1,9,16,False,en,0.435546875,0.0,1.0,no_vad_speech,0,0,0,0,16,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,,
-NFrJFQijFE$_$2,10,18,False,en,0.98193359375,3.2183125,1.0,english_low_text_agreement,0,0,0,0,2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,"Hawk's sense of hearing is excellent, and their eyes are",
-THoVjtIkeU$_$12,11,39,True,en,0.998046875,14.5975625,0.05128205128205128,english_sentence_supported,39,37,0,2,0,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.","Whatever we turn our attention to is what grows, and so if we believe that anything is possible, if we believe that social justice can be achieved, and if we believe in youth, they will believe in themselves.",
-THoVjtIkeU$_$2,12,10,True,en,0.99365234375,4.230875,0.0,english_sentence_supported,10,10,0,0,0,I think social justice is extremely important for young people.,I think social justice is extremely important for young people.,
-THoVjtIkeU$_$6,13,30,True,en,0.98388671875,7.982875,0.2,english_sentence_supported,29,23,0,6,0,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.","I think that listening to young people, taking in what they have to say, because what we've seen all around the world is the power of youth.",
