sample_id,duration_s,words,supported_words,text_valid,word_audio_valid,word_pitch_valid,word_expression_valid,word_scene_valid,grid_rows,grid_audio_valid,grid_expression_valid,grid_scene_valid,diagnostic_status
-3g5yACwYnA$_$13,5.5,15,14,15,14,8,14,14,55,54,55,55,english_sentence_supported
-3g5yACwYnA$_$3,14.366666,29,28,29,28,22,28,28,144,144,144,144,english_sentence_supported
-3g5yACwYnA$_$2,9.366666,14,11,14,11,8,11,11,94,93,94,94,english_sentence_supported
-3g5yACwYnA$_$9,8.8,23,22,23,22,21,22,22,88,87,88,88,english_sentence_supported
-3nNcZdcdvU$_$5,7.8666659999999995,18,16,18,16,16,16,16,79,78,78,79,english_sentence_supported
-HwX2H8Z4hY$_$2,3.966666,4,3,4,3,1,2,3,40,40,14,40,english_sentence_supported
-HwX2H8Z4hY$_$5,5.6333329999999995,9,9,9,9,8,2,9,57,56,20,57,english_sentence_supported
-HwX2H8Z4hY$_$6,3.3333329999999997,7,6,7,6,5,4,6,34,33,23,34,english_sentence_supported
-HwX2H8Z4hY$_$9,7.733333,22,17,22,17,14,1,17,78,77,6,78,english_sentence_supported
-NFrJFQijFE$_$1,5.72,16,0,16,0,0,0,0,58,57,0,58,no_vad_speech
-NFrJFQijFE$_$2,6.84,18,0,18,0,0,0,0,69,67,0,69,english_low_text_agreement
-THoVjtIkeU$_$12,14.866666,39,37,39,37,26,37,37,149,149,149,149,english_sentence_supported
-THoVjtIkeU$_$2,4.266666,10,10,10,10,9,10,10,43,43,43,43,english_sentence_supported
-THoVjtIkeU$_$6,8.066666000000001,30,23,30,23,21,23,23,81,80,81,81,english_sentence_supported
-UuX1xuaiiE$_$1,10.333333000000001,27,27,27,27,19,27,27,104,103,104,104,english_sentence_supported
-UuX1xuaiiE$_$0,3.6999999999999997,9,8,9,8,5,8,8,37,36,37,37,english_sentence_supported
-UuX1xuaiiE$_$3,4.1,9,8,9,8,6,8,8,41,41,41,41,english_sentence_supported
-UuX1xuaiiE$_$6,8.100000000000001,23,22,23,22,22,22,22,82,80,81,81,english_sentence_supported
-a55Q6RWvTA$_$3,22.133333,65,61,65,61,59,61,61,222,221,222,222,english_sentence_supported
